file,bytes_mb,width,height,megapixels,format,display_width,referenced_by_count,sha256_16,ai_generated,orphan,creator_TODO,source_url_TODO,license_TODO,status
AEC-Architecture/Construction/202_img/203_5.png,2.98,896,1200,1.08,PNG,50%,2,12d15584082fb305,,,,,,unreviewed
AEC-Architecture/Construction/202_img/203_4.png,2.73,1376,768,1.06,PNG,66%,2,8f8caf583bcba259,,,,,,unreviewed
AEC-Architecture/Construction/401_img/finishing_window_detail_04.png,2.70,1817,1168,2.12,PNG,70%,2,a4b39859a867e1f7,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Circulation plan2.jpg,2.69,5546,4350,24.13,JPEG,70%,1,09b1ad319e8c2dec,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/flow.jpg,2.69,5546,4350,24.13,JPEG,70%,1,c1034fe6871074a4,,,,,,unreviewed
AEC-Architecture/Construction/202_img/203_3.png,2.68,1056,1008,1.06,PNG,50%,2,27c8b0c4623c9918,,,,,,unreviewed
AEC-Architecture/Construction/301-302_img/wood.png,2.68,1024,1187,1.22,PNG,?,2,99b5cb4ab6d5e538,,,,,,unreviewed
AEC-Architecture/Construction/401_img/finishing_waterproofing_03.png,2.58,1536,1024,1.57,PNG,50%,2,b079518466ce51ee,,,,,,unreviewed
AEC-Architecture/Construction/301-302_img/steel.png,2.55,1024,1174,1.20,PNG,?,2,7e4b73c557b7dc5d,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/04-1_ENG.jpg,2.52,3543,3543,12.55,JPEG,600,1,922fe2ed1fb24152,,,,,,unreviewed
AEC-Architecture/Construction/301-302_img/BAR.png,2.49,1024,1536,1.57,PNG,?,2,ade868368a9e4ff1,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/04-1.jpg,2.44,3543,3543,12.55,JPEG,600,1,9fb4c0f045a027fb,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/01_image1.jpg,2.44,3899,5646,22.01,JPEG,?,2,c05274e3d0bed99e,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/SpaceComposition.jpg,2.43,3543,3543,12.55,JPEG,600,1,d8d667c8f30517ae,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/01_image2.jpg,2.42,3000,4000,12.00,JPEG,?,2,d2e4c9a62c351ef7,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Basic unit of space.jpg,2.41,3543,3543,12.55,JPEG,600,1,42c08afc9f6f5870,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/Regulation Intro Image_ENG.jpg,2.41,3543,3543,12.55,JPEG,600,1,3486a58501a5a8f0,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Circulation plan.jpg,2.40,3543,3543,12.55,JPEG,600,1,c4e3d7287bc11faf,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/FlowPlan.jpg,2.40,3543,3543,12.55,JPEG,600,1,d5a29f2043f57067,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/FloorPlan.jpg,2.40,3543,3543,12.55,JPEG,600,1,1aefd0540f76d1f2,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/Regulation Intro Image.jpg,2.40,3543,3543,12.55,JPEG,600,1,17f26d41c44db076,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/plan.jpg,2.40,3543,3543,12.55,JPEG,600,1,c898bb06a09b4847,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/04-3.jpg,2.32,3543,3543,12.55,JPEG,—,0,5face2a959434bde,,ORPHAN,,,,unreviewed
AEC-Architecture/Construction/301-302_img/Masonry.png,2.28,1024,1067,1.09,PNG,?,2,6fc6840d90ca9cb2,,,,,,unreviewed
AEC-Architecture/MEP/101-102_img/101-3.png,2.20,1024,1024,1.05,PNG,40%,2,d6b118a73556f3b1,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/03-3_ENG.jpg,2.20,3543,3543,12.55,JPEG,600,1,76a2c29562b69c18,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/5-0_ENG.jpg,2.19,3543,3543,12.55,JPEG,600,1,6bca2c6b290d863b,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/03-2_ENG.jpg,2.19,3543,3543,12.55,JPEG,600,1,d40d382b1ee61b22,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/03-3.jpg,2.15,3543,3543,12.55,JPEG,600,1,db0e86617a8a27b6,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/03-2.jpg,2.14,3543,3543,12.55,JPEG,600,1,699939ea4362fa4e,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/5-0.jpg,2.13,3543,3543,12.55,JPEG,600,1,566f859336aa14df,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/5-2_ENG.jpg,2.11,3543,3543,12.55,JPEG,600,1,f6523cef905bfa10,,,,,,unreviewed
AEC-Architecture/Construction/301-302_img/formwork.png,2.04,1024,1536,1.57,PNG,?,2,06d212bd1c3cc629,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/04-2_ENG.jpg,2.02,3543,3543,12.55,JPEG,600,1,2044e61084771571,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/5-2.jpg,2.01,3543,3543,12.55,JPEG,600,1,54b5303679d69d9c,,,,,,unreviewed
AEC-Architecture/Regulation/assets/images/04-2.jpg,1.96,3543,3543,12.55,JPEG,600,1,fd1723326875261d,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/modulor.png,1.69,1024,1536,1.57,PNG,?,2,142686ea97cb0e5e,,,,,,unreviewed
AEC-Architecture/MEP/201_img/bridge.png,1.69,1486,888,1.32,PNG,?,2,86995ab5533765d3,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 1_09PM.jpeg",1.67,1376,768,1.06,JPEG,66%,2,ab596fd4410db531,YES,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/core2.png,1.46,1536,911,1.40,PNG,?,2,58d8911e356df633,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 1_07PM.jpeg",1.45,1200,896,1.08,JPEG,66%,2,6349e98a13e4af8d,YES,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Corridor_image.jpg,1.38,4000,6000,24.00,JPEG,50%,2,879b13f01c34d5f5,,,,,,unreviewed
AEC-Architecture/Construction/202_img/5.jpeg,1.35,1024,1024,1.05,JPEG,66%,2,87b9870a66b680e6,,,,,,unreviewed
AEC-Architecture/MEP/101-102_img/102-2.png,1.35,1472,704,1.04,PNG,66%,1,f9f74df0eef9ee48,,,,,,unreviewed
AEC-Architecture/MEP/101-102_img/101-2.png,1.32,1024,1024,1.05,PNG,40%,2,11ffbba987ca53f1,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 1_02PM.jpeg",1.25,1264,848,1.07,JPEG,66%,2,4cc294c478d49e81,YES,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 4_43PM.jpeg",1.20,1376,768,1.06,JPEG,66%,2,1013df98947259cb,YES,,,,,unreviewed
AEC-Architecture/Construction/301-302_img/conc.png,1.17,1024,569,0.58,PNG,?,2,561f49155068e295,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Lowlevel.jpg,1.16,6000,4000,24.00,JPEG,90%,2,4ac3a9461af0a738,,,,,,unreviewed
AEC-Architecture/Construction/202_img/3.jpeg,1.14,1376,768,1.06,JPEG,66%,2,f7c1482d08fb5055,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Room_image.jpg,1.09,5616,3748,21.05,JPEG,50%,2,cb13e2cad1096bd3,,,,,,unreviewed
AEC-Architecture/MEP/101-102_img/101-1.png,1.03,1424,752,1.07,PNG,66%,2,f41703fda12f0165,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 2_25PM.jpeg",0.99,1296,816,1.06,JPEG,66%,2,0f09c260a1b9b53f,YES,,,,,unreviewed
AEC-Architecture/Construction/202_img/1.jpeg,0.98,1296,816,1.06,JPEG,66%,2,bae891f0b924ba27,,,,,,unreviewed
AEC-Architecture/Construction/202_img/4.jpeg,0.98,1200,896,1.08,JPEG,66%,2,50918de271e02f0c,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 2_10PM.jpeg",0.91,1376,768,1.06,JPEG,66%,2,7af3870ac5c1f81f,YES,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/02_plan.png,0.90,1239,1126,1.40,PNG,70%,4,d5e379719373ff0a,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/core.png,0.81,1376,804,1.11,PNG,?,2,1829a4bb1c416e72,,,,,,unreviewed
AEC-Architecture/Construction/01_img/FAR.png,0.77,1536,703,1.08,PNG,?,2,35cc193cca3c4b39,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 2_06PM.jpeg",0.67,1056,1008,1.06,JPEG,66%,2,e734370bfb9039ad,YES,,,,,unreviewed
AEC-Architecture/Construction/401_img/finishing_window_detail_01.png,0.66,627,703,0.44,PNG,90%,2,f1260966d4cdebf3,,,,,,unreviewed
AEC-Architecture/Construction/202_img/2.jpeg,0.65,1200,896,1.08,JPEG,66%,2,12de7046b37687a8,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/data_dynamic_grid.png,0.62,2251,2251,5.07,PNG,100%,2,9c267ebe37e54e89,,,,,,unreviewed
"AEC-Architecture/Construction/201_img/Generated Image February 09, 2026 - 12_50PM.jpeg",0.53,1456,736,1.07,JPEG,66%,2,885de107b832516e,YES,,,,,unreviewed
AEC-Architecture/Construction/01_img/line.png,0.52,1337,1024,1.37,PNG,?,2,86ee30757e15a867,,,,,,unreviewed
